Acnecin Oint.,,,,,,,,,,,
Altamet 250mg,,,,,,,,,,,
Altamet 500mg,,,,,,,,,,,
Aldinir-300 Cap,,,,,,,,,,,
Althrocin 100mg,,,,,,,,,,,
Althrocin 250mg,,,,,,,,,,,
Althrocin 500mg,,,,,,,,,,,
Althrocin Drops,,,,,,,,,,,
Althrocin Syp.,,,,,,,,,,,
Althrocin Kid,,,,,,,,,,,
Calcy 250mg Tab,,,,,,,,,,,
Calcy 500mg Tab,,,,,,,,,,,`
Hydrol Caps,,,,,,,,,,,
Calcy Liquid,,,,,,,,,,,
Hydrol Baby Sach,,,,,,,,,,,
Dubatran MF Tab,,,,,,,,,,,
Aldinir Suspn.,,,,,,,,,,,
Ferisis Caps,,,,,,,,,,,
Dubatran Tab,,,,,,,,,,,
Ferisis Liquid,,,,,,,,,,,
Otidrop,,,,,,,,,,,
GLZ-40mg Tab,,,,,,,,,,,
GLZ-80mg Tab,,,,,,,,,,,
GLZ-Plus Tab,,,,,,,,,,,
Ben Pencillin,,,,,,,,,,,
Glycodin Terp V,,,,,,,,,,,
Geriflo,,,,,,,,,,,
Hermin Inj,,,,,,,,,,,
Actigaut Caps,,,,,,,,,,,
Actigut Sachet,,,,,,,,,,,
Glimser 1mg Tab,,,,,,,,,,,
Glimser 2mg Tab,,,,,,,,,,,
Hermin Forte Cap,,,,,,,,,,,
Forminal SR 500,,,,,,,,,,,
Magadol Tab,,,,,,,,,,,
Amtor Tab,,,,,,,,,,,
Ezorva Tab,,,,,,,,,,,
Gerilax Syp,,,,,,,,,,,
Nitacure 500mg,,,,,,,,,,,
Glimser P1mg Tab,,,,,,,,,,,
Glimser P2mg Tab,,,,,,,,,,,
Protinules Powd,,,,,,,,,,,
Piolem 15mg Tab,,,,,,,,,,,
Piolem 30mg Tab,,,,,,,,,,,
Odinol 25mg Tab,,,,,,,,,,,
Acnicin **Gel**,,,,,,,,,,,
Proace 2.5mgCap,,,,,,,,,,,
Proace 5mg Caps,,,,,,,,,,,
Gemicare Tab,,,,,,,,,,,
Geriflam Tab,,,,,,,,,,,
Ben Pencillin,,,,,,,,,,,
Gerimac 500mg,,,,,,,,,,,
Gerglim 1mg,,,,,,,,,,,
Cepime O 50 Tab,,,,,,,,,,,
Cepime 500mg Inj,,,,,,,,,,,
Cepimi 1gm Inj,,,,,,,,,,,
Cepime O 100 Tab,,,,,,,,,,,
Cepime O 200mgTab,,,,,,,,,,,
Cepime O syp,,,,,,,,,,,
M-Spray,,,,,,,,,,,
Normitone Cap,,,,,,,,,,,
Normitone 1gm Sach,,,,,,,,,,,
Mucosyn 500mg Tab,,,,,,,,,,,
Livfit Drop,,,,,,,,,,,
Livfit Syp,,,,,,,,,,,
Livfit Tab,,,,,,,,,,,
Pencom 6 Lac,,,,,,,,,,,
Pencom 12 Lacs,,,,,,,,,,,
Ephedrex Cap,,,,,,,,,,,
Ephedrex Syp,,,,,,,,,,,
Ephedrex + Syp,,,,,,,,,,,
F.P.Pencillin,,,,,,,,,,,
F.P.Pencillin,,,,,,,,,,,
F.P.Pencillin,,,,,,,,,,,
Glycodin Terp V,,,,,,,,,,,
Norbid 400mg,,,,,,,,,,,
Sharkoferrol Sy,,,,,,,,,,,
Geridys Syp,,,,,,,,,,,
Geridys Tab,,,,,,,,,,,
Gericard Tab,,,,,,,,,,,
Geripod 200mg Tab,,,,,,,,,,,
Ulgel Tab,,,,,,,,,,,
Ulgel-A-Syp,,,,,,,,,,,
Ulgel Syp,,,,,,,,,,,
Wikoryl Tab,,,,,,,,,,,
Wikoryl Syp.,,,,,,,,,,,
Wikoryl AF Syp,,,,,,,,,,,
Zeet Expt.,,,,,,,,,,,
Zeet{Expt}Tab*,,,,,,,,,,,
Magadol Syp,,,,,,,,,,,
Mega Clav DrySy,,,,,,,,,,,
Mega Clav 375mg,,,,,,,,,,,
Mega Clav 625mg,,,,,,,,,,,
Arilex Cap,,,,,,,,,,,
Mega Clav Kid Tab,,,,,,,,,,,
Mega Clav D.S Syp,,,,,,,,,,,
Roxid S Tab,,,,,,,,,,,
Roxid-M-Kid,,,,,,,,,,,
Roxid 75 mg,,,,,,,,,,,
Roxid-150,,,,,,,,,,,
Roxid-M Tab,,,,,,,,,,,
Rekool 10mg Tab,,,,,,,,,,,
Rekool 20mg Tab,,,,,,,,,,,
Rekool-D Caps,,,,,,,,,,,
D-Kool Caps,,,,,,,,,,,
Kool IT Cap,,,,,,,,,,,
Zocam-0.25mg,,,,,,,,,,,
Zocam-0.5mg,,,,,,,,,,,
Zocam C 0.50Mg,,,,,,,,,,,
Zocam C 0.025mg,,,,,,,,,,,
Wikoryl ND Tab,,,,,,,,,,,
Azithral 250mg,,,,,,,,,,,
Azithral SI,,,,,,,,,,,
Roxid Kid Tab,,,,,,,,,,,
Naresol Drop,,,,,,,,,,,
Naso Wikoryl Drop,,,,,,,,,,,
Wikoryl Drops,,,,,,,,,,,
Wikoryl AF Drops,,,,,,,,,,,
Folinol Tab,,,,,,,,,,,
Folinol + Tab,,,,,,,,,,,
Norbid-100mg,,,,,,,,,,,
Roxid 300mg,,,,,,,,,,,
Maxceft 200mgTab,,,,,,,,,,,
Rupameg Tab,,,,,,,,,,,
Althrocin DT250,,,,,,,,,,,
Norbid T Tabs,,,,,,,,,,,
Azithral 200 Sy,,,,,,,,,,,
Azithral kid,,,,,,,,,,,
Azithral 100 Sy,,,,,,,,,,,
Magadol SP Tab,,,,,,,,,,,
Brozeet Syp,,,,,,,,,,,
Nimegesic Tabs,,,,,,,,,,,
Roxid Drop,,,,,,,,,,,
Roxid Liquid .,,,,,,,,,,,
Roxid 100Syp,,,,,,,,,,,
Sparta-200mg,,,,,,,,,,,
N-Met Suspn.,,,,,,,,,,,
Nimegesic-OD,,,,,,,,,,,
Nimegesic Syp,,,,,,,,,,,
Nimegesic-P Tab,,,,,,,,,,,
Lormeg Tab,,,,,,,,,,,
Clarithro 250mg,,,,,,,,,,,
Clarithro X.R,,,,,,,,,,,
ALA Plus Caps,,,,,,,,,,,
Azithral 500mg,,,,,,,,,,,
Azithral A 500mg,,,,,,,,,,,
Sparta 100mg,,,,,,,,,,,
Nimegesic Kid,,,,,,,,,,,
ALA-100mg,,,,,,,,,,,
Bacimox Caps,,,,,,,,,,,
Nimegesic IR,,,,,,,,,,,
Azithral Inj500,,,,,,,,,,,
Azithral Jr.Drp,,,,,,,,,,,
Azithral-XP Kit,,,,,,,,,,,
Azithral A 250,,,,,,,,,,,
Lormeg-D Tab,,,,,,,,,,,
Lormeg Syp,,,,,,,,,,,
Cadx Cap,,,,,,,,,,,
Isovon Caps,,,,,,,,,,,
Isovon Plus Cap,,,,,,,,,,,
Nita-O Tab,,,,,,,,,,,
Cepime Inj,,,,,,,,,,,
Etrik-P-Tab,,,,,,,,,,,
Diax Caps,,,,,,,,,,,
Tetan 20mg Tab,,,,,,,,,,,
Tetan 40mg Tab,,,,,,,,,,,
Yutopar Tab,,,,,,,,,,,
Laveta 5mg Tab,,,,,,,,,,,
Laveta Syp,,,,,,,,,,,
Yutopar Inj,,,,,,,,,,,
Fortafan Gel,,,,,,,,,,,
Etrik 60mg,,,,,,,,,,,
Etrik 90mg,,,,,,,,,,,
Etrik 120mg,,,,,,,,,,,
Tetan-H Tab,,,,,,,,,,,
Nitacure 200mg,,,,,,,,,,,
Nitacure Syp,,,,,,,,,,,
Neozeet Syp,,,,,,,,,,,
Gatrich 400mg,,,,,,,,,,,
Fortafan Tab,,,,,,,,,,,
Fortafan Plus,,,,,,,,,,,
Ignis 40mg Caps,,,,,,,,,,,
Ignis 20mg Caps,,,,,,,,,,,
Laveta-A Tab,,,,,,,,,,,
Laveta-D Tab,,,,,,,,,,,
Xceft 100 Tab,,,,,,,,,,,
Xceft 200mg,,,,,,,,,,,
Xceft LB Syp,,,,,,,,,,,
Xceft LB 50 DT,,,,,,,,,,,
Xceft AX,,,,,,,,,,,
Xceft LB 100,,,,,,,,,,,
