Dubogen Tablet
Duxet 40
Sulbacin Tabs
Uniprogestin50
Uniprogestin500
Candizole Tab
Emcredil Inj.
Topirain 25mg Tab
Topirain 50mg Tab
Uniprogestin250
Unicobal Tab
Unicobal OD Tab
Unicobal Plus
Feroluv Caps
Lamorig 100mg Tab
Lamorig 25mg Tab
Lamorig 50mg Tab
Evacal Tab
Serta 25mg
Serta 50mg
Serta 100mg
Trika Plus
Trika-SR 1mg
Trika-Sr 1.5mg
Zypine 2.5mg
Zypine 7.5mg
Zypine 5mg
Zypine 10mg
Uniprogst-M 100
Uniprogst-M 200
Trika-SR 0.5mg
C-Pram 10mg
C-Pram 20mg
C-Pram 40mg
Diproex 125mg
Diproex 250mg
Diproex 500mg
Trika Forte
C-Pram S 5mg
C-Pram S 10mg
C-Pram S 20mg
C-Pram-S-Plus
Pregaba 150
Pregaba 75
Duxet M 20
Duxet M 30
Diproex-ER 750
Diproex-ER 250
Diproex-ER 500
Zicam 0.5mg Tab
Zicam 1mg Tab
Zicam 2mg Tab
Unicobal Forte
Unicobal 500Inj
Zicam DT 0.25mg
Duxet 20mg
Duxet 30mg
Mirtadep 15mg
Mirtadep 30mg
Oxcazo 150mg
Oxcazo 300mg
Zisper-MD 1mg
Zisper-MD 2mg
Zisper-MD 3mg
Zisper-MD 4mg
Levtam 250mg
Levtam 500mg
Oxcazo 600mg
Levtam 750mg
Platloc-AS 75mg
PlatlocAS 162.5
Zypine MD 2.5mg
Zypine MD 5mg
Zypine MD 7.5mg
Zypine MD 10mg
Zypine MD 15mg
Zypine MD 20mg
Zisper Plus Tab
Mirtadep 7.5Mg
Platolac 75 Tab
Citilin 500mg
Forcalm Tab
