LCF Syp
Combutol 200mg
Combutol 400mg
Combutol 600mg
Combutol 800mg
Azeflo Nasal Spray
Combunex 800mg
Ceff 250mg Cap
Ceff 500mg Cap
Ceff Kid Tab
Ceff Syp.
Celcox 100mgCap
Celcox 200mgCap
Diclonac Tab
Diclonac Amp.
Eubioz Caps
Eubioz Sachet
LCF Kid Syp
Doxcef DT
Doxcef 100mg
Doxcef 200mg
Doxcef 50mg Syp
Doxcef 100mgSyp
Optineuron Inj.
Ezedoc Tab
Valent-H Tab
Valent-160 Cap
Lervasc 10mg
Lervasc 20mg
Pyzina 500mg
Pyzina 750mg
R-Cin 150mg Cap
Doxiflo 400mg Tab
R-Cin 300mg Cap
R-Cin 450mg Cap
R-Cin 600mg Cap
Rcinex 450mg
R-Cin Syp.
Ramistar 1.25mg
Ramistar 2.5mg
Ramistar 5mg
Ramistar-A Caps
Ramistar 10mg
Ributin TaB
Arzu 10mg Tab
Arzu 15mg Tab
Arzu 30mg Tab
Anxicalm 0.25mg
Anxicalm 0.5mg
Ramistar-H 2.5m
Ramistar-H 5mg
Starstat 5mg
Starstat 10mg
Starstat 20mg
Starstat 40mg
Rcinex Kid Tab
Resner Soft Cap
Starstat-EZ 10m
Starstat-EZ 20m
Telista 80mg Tab
Telista 20mg
Telista 40mg
Telista H Tab
Telista-RM 2.5m
Telista-RM 5mg
Trabest Tab
Diclonac-SR Tab
Matilda Forte
Matilda Inj
Matilda Plus
Matilda 500mg
Matilda OD Tab
Nebistar 5mg
Nebistar 2.5mg
Novapime 1gm In
Placidin 25mg
Placidin 100mg
Placidin 200mg
Nebistar-H Tab
Nebistar-SA Tab
A.K.T-2 Tab
Ceff Forte Syp.
Diclonac Inj.
Ceff 250mg DT
A.K.T-4 Kit
A.K.T-3 Tab
Pyzina Kid DT
Ethide Tab
Rcinex-Z Tab
Rcinex-E Tab
Akurit-4 Tab
Akurit Tab
Akurit Kid Tab
Akurit-Z Tab
Akurit-Z Kid
Akurit-3 Tab
Starpres-AM-50mg Tab
Matilda ER Tab
Rcinex EZ Tab
Optineuron Tab
Pyzina 1000mg
Rinizide Frt DT
Rcinex 600mg
R-TIST 300mg Cap
R-TIST Suspn
G-Cin Tab
Combutol 1000mg
Percin Tab
Diclonac MR Tab
Diclonac-P Tab
A.K.T-FD Tabs
Aptivate Syp
Aptivate OS Tab
Tazox Inj
Fibril Powder
Fibril Rich Tin
Fibril SF Powd
Gabastar Max
Gabastar-M-Tab
Gabastar 300mg
Tirofuse IV Inj
Ceff Drops
Ceff-ER Tab
Protera IV Inj
Protera-I-CaP
Protera Tab
Ceff LA 250mg
Ceff LA 500mg
Protera Fast Tab
Lupihaler
Ceff Premix Syp
CeffFortePremix
Ceff Frt Premix 60ml:
E-Cef OD Tab
Lipril-H Tab
Retorlix 5mg
Retorlix 10mg
Retorlix 20mg
Retorlix 100mg
Atenova 100mg
Atenova 50mg
Atenova 25
Fruselac Tab
Lipril 2.5mg
Lipril 5mg
Lipril 10mg
Protera D Caps
Metadrate Suspn
Odoxil 125mg
Odoxil 250mg
Odoxil 500mg
Odoxil Syp
Odoxil D.S Syp
Odoxil Premix
Odoxil DS Premi
Dumore 20
Dumore 30
Dumore 60
Rablet IT Cap
Odoxil OD
CZ-EX Syp
Cetil 125mg
Cetil 250mg
Cetil 500mg
CZ-3 Tab
CZ-Cold Tab
CZ-3 Syp
F.R.S Cap
Lupiderm Oint
Lupiderm G oint
Lupiderm GM oin
Lupiderm-S oint
Lupiderm-M Oint
CZ-L Cap
CZ-Cold Syp
CZ-Tus Syp
Nizonide-O Tab
Nizonide O Syp
Doxcef 100 DT
Retorlix SP-5mg
Retorlix SP-10mg
Ribavin 200mg
Recovit Cap
Softovac Powd
Softovac S.F
Valbet Oint
Tonact 10mg Tab
Tonact 40mg Tab
Tonact 20mg Tab
Tonact-TG Tab
Tonact-EZ 20mg
Clopitab 75mg
Clopitab 150mg
Rablet-D Caps
Rablet-10mg Tab
Rablet-20mg Tab
L-Cin 250mg Tab
L-Cin 500mg Tab
L-Cin 750mg Tab
Co-Q-Dent 50gm
Gatispan 200mg
Gatispan 400mg
Valent 80mg Cap
Abel 10mg Tab
Abel 20mg Tab
GluconormSR 500
Gluconorm-G1
Gluconorm-G2
Gluconorm-P 15
Gluconorm-P 30
Clopitab-A 75
Clopitab-A 150
Starcet 5mg Tab
Glutide-CR 30mg
Glutide-CR 60mg
Tonact Plus Tab
Starcet Cold Tb
Starcet-A Tab
Tonact 5mg Tab
Valent 40mg Cap
Tonact Forte
Gluconorm SR 1g
Glador-1mg Tab
Glador-2mg Tab
Path-15mg Tab
Path-30mg Tab
Pregastar 75
Pregastar 150
Zehist Tab
Path-G1 Caps
Path-G2 Caps
Stalopam 5mg
Stalopam 10mg
Stalopam 20mg
Nizonide Tab
Nizonide Suspn
Tonact EZ Tab
Tonact ASP 75mg
Budamate100 Inh
Budamate200 Inh
Budamate100 Cap
Budamate200 Cap
Esiflo 125 Inha
Esiflo 250 Inha
Esiflo 100 Caps
Esiflo 250 Caps
Salbair Inhaler
Salbair-B Inhal
Salbair-I Inhal
Salbair Caps
Salbair-B Caps
Salbair-I Caps
Salbair-B Forte
Signoflam Tab
Nizonide DT Tab
Parovi Tab
Budate 100 Inha
Budate 200 Inh
Budate 100 Caps
Budate 200 Caps
Lipril AM
Glador 3 Tab
Glador 4 Tab
Atenova-H 25mg
Ipneb Respi.Ltn
Salbair RespLtn
Atenova-H 50
Fruselac-DS Tab
Misobit 25mgTab
Misobit 50mgTab
Jolyon-MD 5mg
Jolyon-MD 10mg
Rclonac Caps
Jolyon-MD 7.5mg
Cilodoc 50mg
Cilodoc 100mg
Dulot 20
Ribafit Tab
Atenova-SA 25mg
Atenova-SA 50mg
Tiate Trans Cap
Tiomate TranCap
Flutiflo Ns.Spr
Momeflo Nas.Spr
Stalopam Plus
Budate Transpul
Salbair-I Trans
Dulot 30mg Caps
Signoflam-P Tab
Signoflam-SR Tb
GluconormPG-1mg
GluconormPG 2mg
Vida-25mg Tab
Vida-50mg Tab
Vida-H Tab
Benz Caps
Rablet Inj
Tonact-Q Caps
Caluft-G Tab
Lupenox 20mg Inj
Lupenox 40mg Inj
Lupenox 60mg Inj
Matilda AF
Novastat 5
Novastat 10mg
Isonorm 10mg Tab
Isonorom 20mg
Isonorm 30mg SR Tab
Valent R 2.5 Cap
Valent.R.5 Cap
Tiate Inhaler
Budamate 400 Inhaler
Budamate 400 Cap
Topol XL 25mg
Topol XL 50mG
Topol XL 100mg
Telekast 4
Telekast 5
Telekast 10
Telekast Plus
Telekast L
Topcerin
Co-Q-Dent
Caluft Cap
Pragadoc 75mg Cap
Pragadoc 150mg Cap
Sterio 4mgTab
Sterio-8 Tab
Sterio-16mgTab
Dayo OD 250mgTab
Dayo OD 500mg
Dayo OD 750mg
Misobit-MD-25mg
Misobit-MD-50mG
Starpress XL 25mg
Starpress XL 50mg
StarpressXL100mg
Pregastar-M-75mg
L-Cin OZ Tab
Citistar Tab
Citistar 2ml Inj
Citistar 4ml Inj
Lovax 150mg Tab
Lovax 300mg Tab
Lovax OD 300mg TaB
Lovax OD 600mg
Lovax 600mg TaB
Salbair Transpuleas
Starpress H 25 XL
Starpress H 50mg XL
Planep 25mg Tab
Defnalone 1mg Tab
Defnalone 6mg Tab
Defnalone 30mg Tab
Amigold 50mg Tab
Amigold 100mg Tab
Esiflo 500 Cap
L-Cin-A-TaB
Formoflo 125mg Inh
Formoflo 250 Inh
Amigold 200mg Tab
Formoflo 100 Cap
Formoflo 250 Cap
Fleta Bolus Inj 20mg
Fleta Infusion -75mg
Cetil-OD-Tab
Eugraf-150-15gm
Cefaxone 1gm
Tazar 4.5gm
Cefforen Tab
Epilive -250MG Tab
Epilive -500Mg Tab
Epilive -750Mg Tab
Lycimax -Cream
