Ace-Proxyvon Cap
Alzad Syrup
Eclospan Cream
Eclospan Cream
Expent Syp
Etobrix 120mg
Etobrix 90mg
Lenagesic-4mg Tab
Lenagesic-8mg Tab
Cavidin-INH Tab
Caviter
Methycobal Tab
Methycobal Inj
Cytop 10mg Tab
Cytop 20mg Tab
Sammy 200mg Tab
Aricep 5mg Tab
Aricep 10mg Tab
Viscodyne Syp.
Viscodyne Syp.
Lanagesic 8mg Tab
Lanagesic 4mg Tab
Zleep 5mg Tab
Zleep 10mg Tab
Zerosma Sup
Zerosma Tab
Viscodyne S Syp
Dupact 20mg Caps
Dupact 30mg Caps
Viscodyne-D Syp
Dilex 125mg Tab
Dilex 250mg Tab
Dilex 500mg Tab
Dilex-OD 250mg
Dilex-OD 500mg
Dilex-OD 750mg
Dilex OD 1gm
Caviter Forte
Alphadopa 250mg
B.G.Prot Syp
Buscalm 5mg
Decdan Inj
H.B.Rich Syp
H.B.Rich 300mg
Libotryp 12.5mg
Libotryp DS 25m
Libotryp XL 25m
Mobiwok -4Mg Tab
Mobiwok-8Mg Tab
Practin Syp
Practin-EN Syp
Raftace Tab
Reftace Liq
Resec 20mg.Caps
Trineurosol-H F
Tryptomer 10mg
Tryptomer 25mg
Tryptomer 75mg
Practin Tabs
Pitastat 1mg
Pitastat 2mg
B.G.Prot Sup
Buscalm Forte
Platin 10mg
Platin 20mg
Prorab-D Caps
Prorab-20mg Tab
Pyrexon 650mg
Immumod 500mg
Decdan Tab
Decdeck-ST
Caviter FD 4
Trineurosol-AMP
Immumod Syrup
Tryptomer SR
Joyjol 5mg Tab
Joyjol 10mg Tab
Floxur 200mg
Floxur 400mg
Floxur TZ Tabs
Oxrate-150mgTab
Oxrate-300mgTab
Oxrate-600mgTab
Floxur 100mg
Reboxxin 2mg
Reboxxin 4mg
